time,wx,wy,wz
0.0028460025787353516,-0.08,-0.01,-0.03
0.00976705551147461,-0.06,-0.03,-0.03
0.0199429988861084,-0.05,-0.02,-0.02
0.029686927795410156,-0.04,0.0,-0.01
0.039370059967041016,-0.04,0.02,-0.0
0.049226999282836914,-0.04,0.01,-0.01
0.05913209915161133,-0.03,0.01,-0.01
0.06903791427612305,-0.02,0.0,-0.01
0.08005905151367188,-0.03,-0.01,-0.01
0.08904695510864258,-0.04,-0.01,-0.01
0.0985410213470459,-0.06,-0.01,-0.01
0.10851907730102539,-0.08,-0.03,-0.01
0.11874818801879883,-0.09,-0.02,-0.01
0.12836408615112305,-0.09,0.01,-0.01
0.13868308067321777,-0.08,0.04,-0.02
0.14848089218139648,-0.08,0.07,-0.01
0.15824317932128906,-0.08,0.11,0.0
0.16820406913757324,-0.09,0.19,0.02
0.17893409729003906,-0.1,0.2,0.01
0.18858718872070312,-0.13,0.13,-0.02
0.1985180377960205,-0.13,0.14,-0.03
0.20832300186157227,-0.11,0.18,-0.02
0.218034029006958,-0.1,0.19,-0.01
0.2277989387512207,-0.08,0.18,0.0
0.23783397674560547,-0.07,0.17,0.01
0.24773502349853516,-0.07,0.16,-0.0
0.25731515884399414,-0.07,0.14,-0.01
0.26769113540649414,-0.06,0.07,-0.02
0.27729105949401855,-0.03,0.01,-0.03
0.28734803199768066,0.02,-0.01,-0.04
0.29706907272338867,0.05,-0.04,-0.03
0.30741405487060547,0.07,-0.03,-0.01
0.3173341751098633,0.08,0.02,0.02
0.3269979953765869,0.08,0.07,0.05
0.3368380069732666,0.09,0.07,0.07
0.34691905975341797,0.14,0.02,0.05
0.3568100929260254,0.21,-0.08,0.03
0.3670070171356201,0.26,-0.23,0.03
0.3801701068878174,0.3,-0.37,0.04
0.3865470886230469,0.36,-0.46,0.01
0.39641308784484863,0.44,-0.48,-0.01
0.40706300735473633,0.49,-0.43,0.02
0.41669702529907227,0.49,-0.36,0.13
