time,wx,wy,wz
0.004420042037963867,-0.14,0.06,0.09
0.010869979858398438,-0.1,0.01,0.09
0.01924610137939453,-0.05,-0.01,0.09
0.03423118591308594,-0.02,-0.02,0.07
0.03939485549926758,-0.01,-0.03,0.06
0.049072980880737305,-0.01,-0.04,0.05
0.05883502960205078,-0.01,-0.06,0.05
0.06898307800292969,-0.03,-0.06,0.05
0.07893085479736328,-0.04,-0.04,0.04
0.08865213394165039,-0.04,-0.02,0.05
0.09811806678771973,-0.04,0.01,0.05
0.10793113708496094,-0.02,0.04,0.05
0.11838698387145996,0.0,0.05,0.04
0.12849998474121094,0.02,0.07,0.04
0.13787007331848145,0.02,0.06,0.04
0.1479790210723877,0.02,0.02,0.04
0.15777802467346191,0.02,0.0,0.03
0.16806888580322266,0.02,-0.01,0.02
0.17766714096069336,0.02,-0.0,0.01
0.1876521110534668,0.01,0.02,0.01
0.19735383987426758,0.01,0.04,0.01
0.20771098136901855,-0.0,0.05,0.03
0.21747684478759766,-0.02,0.05,0.04
0.22769594192504883,-0.05,0.06,0.06
0.23758316040039062,-0.07,0.05,0.07
0.24747514724731445,-0.08,0.05,0.07
0.2569241523742676,-0.08,0.06,0.06
0.26699113845825195,-0.06,0.08,0.04
0.27683591842651367,-0.02,0.09,0.03
0.2868039608001709,0.01,0.11,0.01
0.29655885696411133,0.03,0.12,-0.01
0.3064870834350586,0.02,0.13,-0.02
0.31674909591674805,-0.0,0.13,-0.03
0.3263399600982666,-0.03,0.14,-0.03
0.3367490768432617,-0.06,0.17,-0.03
0.34675097465515137,-0.09,0.19,-0.02
0.35618114471435547,-0.12,0.21,-0.01
0.36612415313720703,-0.13,0.2,0.01
0.3757619857788086,-0.13,0.16,0.03
0.38593292236328125,-0.1,0.09,0.03
0.3957948684692383,-0.04,0.04,0.03
0.40569591522216797,0.05,0.02,0.01
0.41625213623046875,0.13,0.04,-0.0
0.42571401596069336,0.19,0.02,-0.01
0.4355499744415283,0.22,0.02,0.0
0.44545602798461914,0.21,0.01,0.02
0.45514702796936035,0.19,-0.01,0.03
0.4653010368347168,0.15,-0.04,0.04
0.47525596618652344,0.12,-0.05,0.05
0.48528504371643066,0.09,-0.04,0.05
0.4985060691833496,0.07,-0.03,0.06
0.5051720142364502,0.08,-0.02,0.06
0.5161449909210205,0.08,-0.01,0.05
0.5246748924255371,0.08,-0.03,0.04
0.5345239639282227,0.08,-0.05,0.02
0.5448200702667236,0.09,-0.05,0.01
0.5550870895385742,0.08,-0.04,-0.01
0.565000057220459,0.05,-0.05,-0.02
0.5747880935668945,0.03,-0.07,-0.02
0.5848729610443115,0.01,-0.07,-0.01
0.5998649597167969,0.0,-0.06,-0.01
0.6058940887451172,0.01,-0.03,-0.0
0.6146600246429443,0.02,-0.01,-0.0
0.6242961883544922,0.02,-0.02,-0.01
0.6339149475097656,0.02,-0.05,-0.02
0.6442840099334717,0.03,-0.11,-0.04
0.65419602394104,0.06,-0.14,-0.05
0.6641440391540527,0.12,-0.15,-0.05
0.6740851402282715,0.19,-0.13,-0.06
0.6835930347442627,0.28,-0.1,-0.06
0.6996421813964844,0.33,-0.07,-0.05
0.7057230472564697,0.35,-0.05,-0.01
0.7144370079040527,0.34,-0.07,0.04
0.7236590385437012,0.32,-0.1,0.05
0.7335309982299805,0.3,-0.13,0.03
0.7434940338134766,0.31,-0.11,0.0
0.7534420490264893,0.36,-0.03,-0.04
0.7633450031280518,0.46,0.06,-0.1
0.7732410430908203,0.61,0.15,-0.12
0.78314208984375,0.75,0.12,-0.1
0.7943229675292969,0.88,-0.0,-0.1
0.8024048805236816,0.96,-0.16,-0.11
0.8187241554260254,1.03,-0.34,-0.08
0.82505202293396,1.12,-0.39,-0.03
0.8323090076446533,1.23,-0.32,0.01
0.8419990539550781,1.37,-0.22,0.01
0.852139949798584,1.52,-0.13,-0.04
0.8623380661010742,1.56,-0.18,-0.09
0.8725299835205078,1.47,-0.34,-0.09
0.8819770812988281,1.3,-0.46,-0.01
0.8917078971862793,1.13,-0.41,0.14
0.9016680717468262,0.98,-0.16,0.28
0.9116768836975098,0.9,0.03,0.35
0.9216899871826172,0.9,0.09,0.37
0.932121992111206,0.97,0.04,0.35
0.9417569637298584,1.04,-0.15,0.36
0.9519140720367432,1.04,-0.43,0.45
0.9617359638214111,0.96,-0.59,0.64
0.971221923828125,0.76,-0.71,0.85
0.9810738563537598,0.48,-0.73,0.95
0.9911298751831055,0.19,-0.64,0.96
1.0014870166778564,-0.04,-0.5,0.91
1.0114178657531738,-0.22,-0.45,0.86
1.0211939811706543,-0.36,-0.47,0.8
1.0306789875030518,-0.46,-0.5,0.78
1.0409049987792969,-0.57,-0.52,0.75
1.0510179996490479,-0.66,-0.48,0.71
1.0605759620666504,-0.71,-0.43,0.7
1.0703699588775635,-0.72,-0.38,0.76
1.0803089141845703,-0.66,-0.54,1.21
1.0902471542358398,-0.52,-0.76,1.73
1.1044878959655762,-0.41,-1.11,1.85
1.1157450675964355,-0.38,-1.39,1.46
1.1217620372772217,-0.35,-1.43,0.69
1.129791021347046,-0.32,-1.17,-0.08
1.1397809982299805,-0.34,-0.73,-0.55
1.1497631072998047,-0.48,-0.33,-0.69
1.1600570678710938,-0.71,0.01,-0.63
1.169921875,-0.96,0.32,-0.48
1.1800909042358398,-1.21,0.62,-0.33
1.1899561882019043,-1.38,0.94,-0.23
1.1993789672851562,-1.41,1.18,-0.14
1.2098379135131836,-1.36,1.47,-0.06
1.2196860313415527,-1.25,1.47,-0.02
1.2296109199523926,-1.12,1.2,-0.04
1.2396960258483887,-0.94,0.92,-0.07
1.2489819526672363,-0.76,0.63,-0.07
1.2587990760803223,-0.66,0.34,-0.07
1.2687978744506836,-0.58,0.17,-0.09
1.2787230014801025,-0.49,0.2,-0.14
1.289072036743164,-0.42,0.29,-0.2
1.2999091148376465,-0.4,0.44,-0.25
1.3083338737487793,-0.43,0.58,-0.24
1.3187909126281738,-0.48,0.69,-0.19
1.3287990093231201,-0.47,0.64,-0.1
1.338118076324463,-0.47,0.45,0.0
1.3480830192565918,-0.39,0.07,0.19
1.358016014099121,-0.34,-0.3,0.52
1.367976188659668,-0.25,-0.31,0.58
1.3778810501098633,0.01,-0.53,0.51
1.3877990245819092,0.23,-0.69,0.34
1.399266004562378,0.33,-0.83,0.22
1.4162869453430176,0.38,-0.78,0.13
1.4224050045013428,0.34,-0.62,0.09
1.4306249618530273,0.21,-0.58,0.06
1.437736988067627,0.04,-0.56,0.03
1.4476680755615234,-0.09,-0.44,-0.01
1.4576830863952637,-0.21,-0.25,-0.12
1.4678668975830078,-0.24,-0.18,-0.29
1.477674961090088,-0.16,-0.22,-0.43
1.4872820377349854,0.02,-0.22,-0.47
1.4984660148620605,0.3,-0.22,-0.41
1.5067880153656006,0.63,-0.23,-0.29
1.5167820453643799,0.91,-0.21,-0.18
1.5273370742797852,1.03,-0.25,-0.11
1.537034034729004,0.98,-0.37,-0.1
1.5469889640808105,0.83,-0.47,-0.13
1.5564420223236084,0.71,-0.5,-0.2
1.5666780471801758,0.69,-0.43,-0.23
1.576578140258789,0.69,-0.47,-0.24
1.5865869522094727,0.56,-0.62,-0.23
1.5975260734558105,0.39,-0.68,-0.24
1.6058320999145508,0.25,-0.65,-0.24
1.6163969039916992,0.16,-0.62,-0.23
1.626391887664795,0.11,-0.55,-0.22
1.6362409591674805,0.09,-0.39,-0.2
1.6462430953979492,0.08,-0.21,-0.15
1.655940055847168,0.08,-0.06,-0.09
1.666140079498291,0.07,0.06,-0.02
1.675948143005371,0.03,0.13,0.06
1.6859099864959717,0.02,0.2,0.11
1.6958580017089844,0.05,0.22,0.16
1.705575942993164,0.07,0.21,0.23
1.7152328491210938,0.09,0.2,0.28
1.725517988204956,0.07,0.13,0.33
1.735011100769043,0.06,0.07,0.43
1.7449650764465332,0.03,0.01,0.52
1.7547500133514404,-0.05,-0.01,0.52
1.7648530006408691,-0.19,-0.03,0.36
1.7746391296386719,-0.32,-0.0,0.18
1.7846651077270508,-0.53,-0.04,0.12
1.7945940494537354,-0.74,-0.06,0.14
1.8043889999389648,-0.95,-0.09,0.19
1.8148829936981201,-1.07,-0.09,0.25
1.8243589401245117,-1.23,-0.41,0.44
1.8342700004577637,-1.33,-0.68,0.64
1.84409499168396,-1.24,-0.58,0.68
1.854276180267334,-1.02,-0.58,0.56
1.8641080856323242,-0.99,-1.0,0.52
1.8744840621948242,-1.0,-1.07,0.42
1.8843441009521484,-1.11,-1.18,0.39
1.8942561149597168,-1.24,-1.26,0.44
1.9035968780517578,-1.38,-1.35,0.57
1.9135661125183105,-1.55,-1.59,0.74
1.9239039421081543,-1.62,-1.82,0.83
1.9341959953308105,-1.52,-2.05,0.86
1.9438328742980957,-1.35,-2.29,0.89
1.953805923461914,-1.11,-2.49,0.91
1.9637689590454102,-0.92,-2.63,0.88
1.9734420776367188,-0.98,-2.72,0.91
